seed,run_date,driver,distribution,low,mode,high,normal_mean,normal_sd,what_anchors_the_range
20260916,2026-09-16,cac_rel_row,u,0.600000,,1.800000,,,"rest-of-English-speaking CAC anchor relative to UK, prior"
20260916,2026-09-16,sat_kappa,u,0.120000,,0.800000,,,channel saturation exponent: effective CAC scales as (spend / reference spend) ** kappa
20260916,2026-09-16,cac_ref_spend_usd,lu,2500.000000,,70000.000000,,,"monthly spend at which the anchor CAC holds, prior"
20260916,2026-09-16,pool_pressure_psi,u,0.250000,,1.600000,,,"how hard CAC rises as the reachable pool is penetrated, prior"
20260916,2026-09-16,creator_share,u,0.000000,,0.600000,,,"share of acquisitions arriving through a signed creator's audience, prior"
20260916,2026-09-16,creator_cac_rel,u,0.150000,,0.950000,,,"creator-led CAC relative to non-creator CAC, prior"
20260916,2026-09-16,pool_uk,lu,40000.000000,,1200000.000000,,,"reachable UK households; this number does not exist anywhere, so it is taken as an input and the break-even is published instead of a guess"
20260916,2026-09-16,pool_rel_us,lu,0.800000,,9.000000,,,"US reachable pool relative to UK, prior"
20260916,2026-09-16,pool_rel_in,lu,0.500000,,30.000000,,,"India reachable pool relative to UK, prior"
20260916,2026-09-16,pool_rel_row,lu,0.300000,,4.000000,,,"rest-of-English-speaking reachable pool relative to UK, prior"
20260916,2026-09-16,acq_season_amp,u,0.150000,,0.800000,,,"seasonal swing in acquisition, prior"
20260916,2026-09-16,seg_mix_exam,u,0.400000,,0.850000,,,"share of acquisitions landing in the examination year; docs/07 says the two cohorts must never be blended, so the mix is a driver"
20260916,2026-09-16,seg_mix_alevel,u,0.030000,,0.250000,,,"share of acquisitions landing directly in A-level, prior"
20260916,2026-09-16,acq_pct_of_rev,u,0.120000,,0.650000,,,"acquisition budget as a share of trailing net revenue once revenue exists, prior"
20260916,2026-09-16,acq_launch_ramp,lu,6000.000000,,120000.000000,,,"monthly acquisition budget at launch, before there is revenue to fund it; tapered off over the second year after launch by ACQ_RAMP_* below, because a standing subsidy that never switches off is not a budget rule"
20260916,2026-09-16,shock_rho,u,0.450000,,0.950000,,,"AR(1) persistence of the demand shock, prior"
20260916,2026-09-16,shock_sd,u,0.040000,,0.320000,,,"monthly innovation standard deviation of the demand shock, prior"
20260916,2026-09-16,school_seats,u,40.000000,,420.000000,,,"seats per institution contract, prior"
20260916,2026-09-16,school_gbp_seat_yr,u,3.500000,,32.000000,,,"annual price per seat, GBP, prior"
20260916,2026-09-16,school_win_rate,u,0.030000,,0.280000,,,"share of qualified pipeline that closes, prior"
20260916,2026-09-16,school_rep_pipeline_yr,u,12.000000,,60.000000,,,"qualified institutions worked per rep per year, prior"
20260916,2026-09-16,school_renewal,u,0.450000,,0.920000,,,"annual renewal rate, prior"
20260916,2026-09-16,school_cycle_m,u,6.000000,,18.000000,,,"months from first contact to purchase order, prior"
20260916,2026-09-16,us_sales_tax_eff,u,0.000000,,0.085000,,,"effective US state sales tax on the subscription, prior"
20260916,2026-09-16,step_entity_setup_usd,u,9000.000000,,48000.000000,,,"foreign operating entity set-up, prior"
20260916,2026-09-16,step_entity_annual_usd,u,7000.000000,,34000.000000,,,"per-entity annual compliance, audit and accounting, prior"
20260916,2026-09-16,step_cert_setup_usd,u,18000.000000,,70000.000000,,,"information security certification, first award, prior"
20260916,2026-09-16,step_cert_annual_usd,u,9000.000000,,28000.000000,,,"certification surveillance and renewal, prior"
20260916,2026-09-16,step_uk_rep_usd_yr,u,3500.000000,,16000.000000,,,"UK Article 27 representative, prior"
20260916,2026-09-16,step_counsel_initial_usd,u,25000.000000,,130000.000000,,,"the counsel items in docs/14, prior. The vault is not internally consistent about how many there are: docs/14 lists OI-1 to OI-12, its README and docs/11 both say eleven"
20260916,2026-09-16,step_counsel_market_usd,u,12000.000000,,70000.000000,,,"counsel per additional jurisdiction, prior"
20260916,2026-09-16,step_office_usd_head_yr,u,900.000000,,3600.000000,,,"premises per head per year once premises exist, prior"
20260916,2026-09-16,step_dpia_audit_usd_yr,u,8000.000000,,40000.000000,,,"DPIA maintenance and ICO-facing audit readiness, prior"
