seed,run_date,run,target,grouped_quantity,sobol_first_order,what_it_is
20260916,2026-09-16,gtm_minimum,terminal_cash_rank,cac_effective_at_reference_spend_usd,0.224153,"effective cost per acquisition at a common monthly spend of 50,000 dollars: the anchor, the creator blend and the saturation exponent together, which is what one channel test at two spend levels measures"
20260916,2026-09-16,gtm_minimum,peak_funding_requirement,cac_effective_at_reference_spend_usd,0.240983,"effective cost per acquisition at a common monthly spend of 50,000 dollars: the anchor, the creator blend and the saturation exponent together, which is what one channel test at two spend levels measures"
20260916,2026-09-16,gtm_minimum,reaches_profitability,cac_effective_at_reference_spend_usd,0.336543,"effective cost per acquisition at a common monthly spend of 50,000 dollars: the anchor, the creator blend and the saturation exponent together, which is what one channel test at two spend levels measures"
20260916,2026-09-16,onshore_all,terminal_cash,cost_per_item_usd,0.005461,"validation minutes, the examiner rate and the authoring rate as the single quantity one timed pilot measures"
20260916,2026-09-16,onshore_all,terminal_cash_rank,cost_per_item_usd,0.169952,"validation minutes, the examiner rate and the authoring rate as the single quantity one timed pilot measures"
20260916,2026-09-16,onshore_all,peak_funding_requirement,cost_per_item_usd,0.166000,"validation minutes, the examiner rate and the authoring rate as the single quantity one timed pilot measures"
20260916,2026-09-16,onshore_all,reaches_profitability,cost_per_item_usd,0.000577,"validation minutes, the examiner rate and the authoring rate as the single quantity one timed pilot measures"
20260916,2026-09-16,onshore_all,terminal_cash,cost_of_one_bank_usd,0.007867,"that, times items per bank: what one full item bank costs to build"
20260916,2026-09-16,onshore_all,terminal_cash_rank,cost_of_one_bank_usd,0.313536,"that, times items per bank: what one full item bank costs to build"
20260916,2026-09-16,onshore_all,peak_funding_requirement,cost_of_one_bank_usd,0.309338,"that, times items per bank: what one full item bank costs to build"
20260916,2026-09-16,onshore_all,reaches_profitability,cost_of_one_bank_usd,0.001046,"that, times items per bank: what one full item bank costs to build"
20260916,2026-09-16,onshore_all,terminal_cash,cac_anchor_blended_usd,0.054420,"the low-volume acquisition anchor after the creator-led blend, which is the scalar the acquisition drivers act through at low volume"
20260916,2026-09-16,onshore_all,terminal_cash_rank,cac_anchor_blended_usd,0.088047,"the low-volume acquisition anchor after the creator-led blend, which is the scalar the acquisition drivers act through at low volume"
20260916,2026-09-16,onshore_all,peak_funding_requirement,cac_anchor_blended_usd,0.105335,"the low-volume acquisition anchor after the creator-led blend, which is the scalar the acquisition drivers act through at low volume"
20260916,2026-09-16,onshore_all,reaches_profitability,cac_anchor_blended_usd,0.190339,"the low-volume acquisition anchor after the creator-led blend, which is the scalar the acquisition drivers act through at low volume"
20260916,2026-09-16,onshore_all,terminal_cash,cac_effective_at_reference_spend_usd,0.096350,"effective cost per acquisition at a common monthly spend of 50,000 dollars: the anchor, the creator blend and the saturation exponent together, which is what one channel test at two spend levels measures"
20260916,2026-09-16,onshore_all,terminal_cash_rank,cac_effective_at_reference_spend_usd,0.124697,"effective cost per acquisition at a common monthly spend of 50,000 dollars: the anchor, the creator blend and the saturation exponent together, which is what one channel test at two spend levels measures"
20260916,2026-09-16,onshore_all,peak_funding_requirement,cac_effective_at_reference_spend_usd,0.151942,"effective cost per acquisition at a common monthly spend of 50,000 dollars: the anchor, the creator blend and the saturation exponent together, which is what one channel test at two spend levels measures"
20260916,2026-09-16,onshore_all,reaches_profitability,cac_effective_at_reference_spend_usd,0.277013,"effective cost per acquisition at a common monthly spend of 50,000 dollars: the anchor, the creator blend and the saturation exponent together, which is what one channel test at two spend levels measures"
